10,"1,2,3,4,5,6,8,9,11,12",82.5713
9,"1,2,3,4,5,6,8,9,12",82.6166
8,"1,2,3,4,5,6,10,12",82.2997
3,"1,3,9",81.1679
5,"1,2,3,6,7",80.5794
2,"2,10",80.2626
4,"1,2,4,12",82.4808
7,"1,2,3,4,5,8,11",79.4024
3,"1,3,10",80.2626
6,"1,2,3,4,7,8",80.8058
9,"1,2,3,4,5,6,8,10,11",81.1679
10,"1,2,3,4,5,6,8,10,11,12",82.8429
5,"1,2,3,6,8",80.1268
4,"1,2,5,6",79.3119
8,"1,2,3,4,5,6,11,12",82.1639
2,"2,11",80.7605
9,"1,2,3,4,5,6,8,10,12",82.9335
10,"1,2,3,4,5,6,9,10,11,12",82.0733
11,"1,3,4,5,6,7,8,9,10,11,12",83.5672
7,"1,2,3,4,5,8,12",82.3902
4,"1,2,5,7",80.5794
6,"1,2,3,4,7,9",81.8017
5,"1,2,3,6,9",80.7153
3,"1,3,11",80.2626
8,"1,2,3,4,5,7,8,9",82.9335
2,"2,12",82.2544
9,"1,2,3,4,5,6,8,11,12",82.4808
7,"1,2,3,4,5,9,10",82.8882
3,"1,3,12",81.847
5,"1,2,3,6,10",80.4889
4,"1,2,5,8",80.9869
2,"3,4",80.2626
10,"1,2,3,4,5,7,8,9,10,11",81.4396
6,"1,2,3,4,7,10",80.8058
8,"1,2,3,4,5,7,8,10",81.7112
7,"1,2,3,4,5,9,11",80.9416
2,"3,5",80.3078
7,"1,2,3,4,5,9,12",82.1639
10,"1,2,3,4,5,7,8,9,10,12",83.1145
6,"1,2,3,4,7,11",80.6247
8,"1,2,3,4,5,7,8,11",81.0321
5,"1,2,3,6,11",79.9909
3,"1,4,5",80.2626
4,"1,2,5,9",81.0774
9,"1,2,3,4,5,6,9,10,11",81.5301
2,"3,6",80.3984
7,"1,2,3,4,5,10,11",80.5794
4,"1,2,5,10",80.6247
8,"1,2,3,4,5,7,8,12",82.8882
6,"1,2,3,4,7,12",82.7976
10,"1,2,3,4,5,7,8,9,11,12",83.1145
5,"1,2,3,6,12",82.4808
3,"1,4,6",80.3078
2,"3,7",80.2626
9,"1,2,3,4,5,6,9,10,12",82.1639
7,"1,2,3,4,5,10,12",81.5754
8,"1,2,3,4,5,7,9,10",81.6206
6,"1,2,3,4,8,9",82.4355
10,"1,2,3,4,5,7,8,10,11,12",83.4314
5,"1,2,3,7,8",78.9045
4,"1,2,5,11",80.0362
2,"3,8",80.3531
3,"1,4,7",80.2626
9,"1,2,3,4,5,6,9,11,12",82.0733
7,"1,2,3,4,5,11,12",82.0733
8,"1,2,3,4,5,7,9,11",82.1639
2,"3,9",80.9416
6,"1,2,3,4,8,10",80.0362
5,"1,2,3,7,9",81.5301
10,"1,2,3,4,5,7,9,10,11,12",83.3861
4,"1,2,5,12",81.9828
3,"1,4,8",80.2626
11,"2,3,4,5,6,7,8,9,10,11,12",81.9375
2,"3,10",80.2626
8,"1,2,3,4,5,7,9,12",82.8882
9,"1,2,3,4,5,6,10,11,12",82.526
7,"1,2,3,4,6,7,8",80.8963
6,"1,2,3,4,8,11",79.493
4,"1,2,6,7",80.3078
3,"1,4,9",80.4436
8,"1,2,3,4,5,7,10,11",80.5794
10,"1,2,3,4,5,8,9,10,11,12",82.2544
2,"3,11",80.172
5,"1,2,3,7,10",80.6247
9,"1,2,3,4,5,7,8,9,10",83.024
7,"1,2,3,4,6,7,9",82.2091
4,"1,2,6,8",80.2626
6,"1,2,3,4,8,12",82.7976
3,"1,4,10",80.2626
8,"1,2,3,4,5,7,10,12",83.2051
2,"3,12",81.8923
9,"1,2,3,4,5,7,8,9,11",82.2091
5,"1,2,3,7,11",79.8099
10,"1,2,3,4,6,7,8,9,10,11",82.0733
3,"1,4,11",80.2626
4,"1,2,6,9",80.6247
7,"1,2,3,4,6,7,10",80.4436
6,"1,2,3,4,9,10",81.8017
3,"1,4,12",82.2997
2,"4,5",80.4889
5,"1,2,3,7,12",82.526
10,"1,2,3,4,6,7,8,9,10,12",83.2051
9,"1,2,3,4,5,7,8,9,12",82.5713
4,"1,2,6,10",79.5835
7,"1,2,3,4,6,7,11",79.2214
8,"1,2,3,4,5,7,11,12",83.2956
2,"4,6",80.3078
3,"1,5,6",79.7193
6,"1,2,3,4,9,11",81.1227
5,"1,2,3,8,9",81.6206
2,"4,7",80.2626
4,"1,2,6,11",80.67
7,"1,2,3,4,6,7,12",82.7976
8,"1,2,3,4,5,8,9,10",82.7524
6,"1,2,3,4,9,12",82.0733
9,"1,2,3,4,5,7,8,10,11",81.9375
10,"1,2,3,4,6,7,8,9,11,12",82.8429
3,"1,5,7",80.7153
2,"4,8",80.2626
4,"1,2,6,12",82.2997
5,"1,2,3,8,10",80.7605
7,"1,2,3,4,6,8,9",81.9375
8,"1,2,3,4,5,8,9,11",81.7112
3,"1,5,8",80.4889
4,"1,2,7,8",80.2626
2,"4,9",80.2626
9,"1,2,3,4,5,7,8,10,12",83.0693
7,"1,2,3,4,6,8,10",80.7605
10,"1,2,3,4,6,7,8,10,11,12",83.522
5,"1,2,3,8,11",80.4436
6,"1,2,3,4,10,11",80.8511
8,"1,2,3,4,5,8,9,12",82.3902
2,"4,10",80.0815
9,"1,2,3,4,5,7,8,11,12",83.2503
3,"1,5,9",81.4396
4,"1,2,7,9",80.67
7,"1,2,3,4,6,8,11",81.4396
10,"1,2,3,4,6,7,9,10,11,12",83.4767
5,"1,2,3,8,12",83.024
6,"1,2,3,4,10,12",81.6206
4,"1,2,7,10",80.8058
2,"4,11",80.2626
7,"1,2,3,4,6,8,12",83.3409
9,"1,2,3,4,5,7,9,10,11",81.7565
3,"1,5,10",80.2626
8,"1,2,3,4,5,8,10,11",81.4396
5,"1,2,3,9,10",81.1679
10,"1,2,3,4,6,8,9,10,11,12",82.7071
6,"1,2,3,4,11,12",81.8017
2,"4,12",82.2544
5,"1,2,3,9,11",80.9869
7,"1,2,3,4,6,9,10",81.3943
3,"1,5,11",80.2173
8,"1,2,3,4,5,8,10,12",82.0281
9,"1,2,3,4,5,7,9,10,12",83.3861
4,"1,2,7,11",80.0815
10,"1,2,3,4,7,8,9,10,11,12",83.522
6,"1,2,3,5,6,7",79.8551
2,"5,6",79.7193
7,"1,2,3,4,6,9,11",80.8963
5,"1,2,3,9,12",82.1639
8,"1,2,3,4,5,8,11,12",82.6166
3,"1,5,12",81.9828
4,"1,2,7,12",82.1639
2,"5,7",80.2626
9,"1,2,3,4,5,7,9,11,12",83.2956
6,"1,2,3,5,6,8",80.4436
7,"1,2,3,4,6,9,12",81.6659
5,"1,2,3,10,11",79.9909
4,"1,2,8,9",80.4436
3,"1,6,7",80.2626
10,"1,2,3,5,6,7,8,9,10,11",82.8429
8,"1,2,3,4,5,9,10,11",81.6659
2,"5,8",80.3078
6,"1,2,3,5,6,9",81.0321
7,"1,2,3,4,6,10,11",81.6206
2,"5,9",81.2132
4,"1,2,8,10",80.1268
5,"1,2,3,10,12",81.7565
10,"1,2,3,5,6,7,8,9,10,12",82.9787
3,"1,6,8",80.1268
8,"1,2,3,4,5,9,10,12",81.7565
9,"1,2,3,4,5,7,10,11,12",83.522
6,"1,2,3,5,6,10",79.8551
2,"5,10",80.4889
